Metric,Baseline,Neural Network,Change,Winner
Product Specificity (0-1),0.056,0.450,+703.6%,🏆 NN
Generic Products (out of 5),3.88,0.12,-96.9%,🏆 NN
Brand Diversity (out of 5),3.00,4.88,+62.7%,🏆 NN
Category Diversity (out of 5),1.00,1.00,0%,🤝 Tie
Skin Type Match Rate,100%,100%,─,🤝 Tie
─────────────────────,─────────,─────────,─────────,─────
NN Classification Accuracy,N/A (rule-based),0.9949,─,─
NN Precision,N/A,0.9866,─,─
NN Recall,N/A,0.9984,─,─
NN F1 Score,N/A,0.9924,─,─
NN AUC-ROC,N/A,0.9996,─,─
─────────────────────,─────────,─────────,─────────,─────
Training Time,0 sec,~15-30 min,+15-30 min,🏆 Baseline
Inference Time,~10-20ms,~30-40ms,+10-20ms,🏆 Baseline
Trainable Parameters,0,"239,361",+239K,🏆 Baseline
Generalization Gap,N/A,0.0006,Minimal,🏆 NN
